cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
meess,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
philtre,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
sandhills,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
springtime,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
tragi,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
wicks,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
errour,5.121339157027575e-5,79.04885734692682,6.478701057690465e-7,32
fiacre,3.658099397876839e-5,78.55787065533102,4.6565663852150213e-7,23
hangings,2.633831566471324e-4,77.89930167977732,3.381072114482211e-6,167
arabesques,2.1948596387261035e-5,77.43561536025486,2.834431712739578e-7,14
damping,2.1948596387261035e-5,77.43561536025486,2.834431712739578e-7,14
explicitness,2.1948596387261035e-5,77.43561536025486,2.834431712739578e-7,14
Plantagenets,2.1948596387261035e-5,77.43561536025486,2.834431712739578e-7,14
sould,2.1948596387261035e-5,77.43561536025486,2.834431712739578e-7,14
telescopes,2.1948596387261035e-5,77.43561536025486,2.834431712739578e-7,14
vases,2.1948596387261034e-4,76.3449728903921,2.8749235943501435e-6,142
flambeau,2.9264795183014714e-5,76.0770957925311,3.846728753003713e-7,19
saloons,1.1705918073205885e-4,76.0770957925311,1.5386915012014852e-6,76
arcade,3.658099397876839e-5,75.28462604469222,4.859025793267848e-7,24
Gindarics,3.658099397876839e-5,75.28462604469222,4.859025793267848e-7,24
goblets,5.121339157027575e-5,74.39892456181349,6.883619873796118e-7,34
bannisters,5.852959036602943e-5,74.12640102862004,7.895916914060253e-7,39
doorways,8.779438554904414e-5,73.49821118939444,1.1945105075116793e-6,59
Abunekeds,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
ady,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
Assemblies,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
burner,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
buttonholes,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
by'e,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
chaperons,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
chaplets,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
chemisette,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
chequers,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
citadels,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
conductress,2.9264795183014714e-5,72.27324100290453,4.04918816105654e-7,20
corpulency,2.1948596387261035e-5,72.27324100290453,3.036891120792405e-7,15
costliness,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
cramps,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
depositories,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
Djinblats,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
doublings,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
drumsticks,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
dungheap,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
é,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
enhancement,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
euthanasia,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
Evils,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
ewers,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
exhibitors,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
fireproof,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
gaits,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
gazelles,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
governante,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
grisette,2.1948596387261035e-5,72.27324100290453,3.036891120792405e-7,15
habitant,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
handjars,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
haverel,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
hydrogen,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
impertinencies,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
inconveniency,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
lals,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
latheron,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
lizards,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
merrymaking,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
naphtha,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
nomen,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
nonentities,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
o'ercome,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
obtrusion,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
pallazzo,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
pavé,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
peice,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
Phœnix,3.658099397876839e-5,72.27324100290453,5.061485201320675e-7,25
Pietà,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
pleasaunce,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
plesant,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
poulterers,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
Poultry,1.4632397591507357e-5,72.27324100290453,2.02459408052827e-7,10
refurnishing,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
riche,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
speek,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
THINGS,7.316198795753678e-6,72.27324100290453,1.012297040264135e-7,5
